w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
090135331015031,12,7,3,2,0,2,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,3,2,0,9,3,0,0,0,12,0,12,0,0,0,0,20190825
090135331015036,6,2,1,3,3,1,2,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,0,2,5,1,0,2,0,0,4,5,1,0,0,0,20190825
090135331015038,3,2,1,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,3,3,0,0,0,0,20190825
090135331015039,4,2,0,2,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,4,0,0,4,0,0,20190825
090135331015042,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,20190825
090135331015048,203,50,110,43,49,101,53,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,188,0,13,0,0,151,36,1,11,0,4,189,14,19,42,45,47,27,176,187,0,0,0,16,12,0,184,0,7,20190825
090135331015049,9,0,9,0,2,2,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,3,4,2,0,7,2,0,0,0,0,9,9,0,0,0,0,20190825
090135331021009,13,2,8,3,2,2,9,0,0,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,13,0,0,0,0,0,13,0,0,1,3,7,10,3,4,0,0,1,8,11,0,0,0,2,20190825
090135331021010,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,4,0,1,1,1,0,0,4,0,0,0,4,0,4,0,0,0,0,20190825
090135331021013,21,6,10,5,0,2,19,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,1,0,0,21,0,0,1,5,9,17,4,0,5,0,0,16,4,0,0,0,17,20190825
090135331021020,18,4,10,4,5,5,8,0,0,0,4,0,0,0,0,0,0,10,0,1,0,0,0,0,0,3,0,18,0,0,0,0,0,18,0,1,1,6,6,10,8,3,1,0,0,14,18,0,0,0,0,20190825
090135331022000,13,1,10,2,2,1,10,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,13,0,0,0,0,0,12,1,0,2,3,7,11,2,0,0,0,7,6,13,0,0,0,0,20190825
090135331022002,160,32,76,52,80,70,10,0,0,0,6,0,4,3,0,0,0,2,0,0,2,0,141,0,0,2,0,138,14,0,6,0,2,150,10,9,35,49,35,26,134,0,7,1,135,17,24,0,134,0,2,20190825
090135331022003,81,28,39,14,22,35,24,0,0,0,0,1,0,13,0,0,8,0,6,0,5,0,29,12,1,6,0,75,3,0,3,0,0,73,8,4,18,10,21,28,53,7,4,0,0,70,47,0,10,4,20,20190825
090135331022005,3,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,1,0,0,0,2,3,0,0,0,0,20190825
090135331022006,3,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,3,0,0,2,1,0,0,3,1,0,0,2,0,3,0,0,0,0,20190825
090135331022008,5,0,2,3,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,0,3,1,3,2,0,0,0,0,5,5,0,0,0,0,20190825
090135331022009,4,0,3,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,2,2,1,3,0,0,0,0,4,1,0,0,0,3,20190825
090135331022010,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,0,3,0,0,0,0,3,20190825
090135331022011,3,2,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,1,0,1,2,0,2,0,0,1,3,0,0,0,0,20190825
090135331022018,10,2,6,2,3,2,5,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,9,1,0,0,0,0,7,3,2,1,1,4,6,4,0,0,0,5,5,5,1,0,2,2,20190825
090135331022019,3,1,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,3,0,0,0,0,3,0,3,0,0,0,0,20190825
090135331023002,11,5,4,2,1,4,6,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,1,3,2,7,4,1,0,0,0,10,10,0,0,0,1,20190825
090135331023009,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,2,0,3,0,0,0,0,3,0,3,0,0,0,0,20190825
090135331023016,3,0,2,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,2,3,0,0,0,0,2,1,0,3,0,0,0,20190825
090135331023018,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,20190825
090135331023019,4,0,3,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,2,1,4,0,0,0,0,0,4,0,0,2,0,2,20190825
090135331023025,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,20190825
090135331023031,7,2,1,4,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,7,0,0,2,1,2,0,7,0,6,0,0,1,6,1,0,0,0,20190825
090135331024002,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,2,3,0,2,0,0,1,0,2,0,1,0,0,20190825
090135331024005,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20190825
090135331024006,8,3,2,3,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,3,1,1,1,2,8,0,0,0,6,0,2,7,0,0,0,1,20190825
090135331024007,262,73,130,59,44,70,148,0,0,0,0,0,1,1,0,9,5,2,100,0,0,0,47,0,18,79,0,245,6,2,5,0,4,253,9,5,38,72,74,100,162,7,22,1,40,192,95,110,41,0,16,20190825
090135331024008,12,10,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,9,3,1,0,1,0,0,12,12,0,0,0,0,12,0,0,0,0,20190825
090135331024011,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,20190825
090135351001000,136,21,72,43,14,43,79,0,0,0,0,101,1,2,0,0,0,0,8,0,0,0,24,0,0,0,0,98,17,0,17,0,4,118,18,14,38,34,29,89,47,0,6,0,0,130,15,21,0,0,100,20190825
090135351001001,6,1,5,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,1,0,0,6,0,0,4,1,0,6,0,2,0,0,4,0,2,0,0,0,4,20190825
090135351001002,40,13,12,15,9,12,19,0,0,0,4,21,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,0,0,6,14,7,24,16,0,0,0,15,25,37,3,0,0,0,20190825
090135351001003,87,23,43,21,17,21,49,1,0,0,36,38,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,80,4,0,2,0,1,72,15,12,23,18,11,65,22,1,0,34,3,49,12,72,3,0,0,20190825
090135351001005,22,5,6,11,1,6,15,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0,1,22,0,2,3,7,5,19,3,1,0,0,0,21,1,20,0,0,1,20190825
090135351001006,381,152,157,72,192,105,84,0,0,0,10,20,0,12,0,0,0,0,0,0,61,0,48,0,0,230,0,326,40,2,7,2,4,340,41,30,67,76,56,154,227,4,0,5,40,332,46,39,73,1,222,20190825
090135351001009,21,11,9,1,14,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,0,0,17,0,0,4,0,0,21,0,2,1,1,6,9,12,0,0,0,0,21,21,0,0,0,0,20190825
090135351001012,21,5,9,7,9,9,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,7,0,19,1,0,1,0,0,17,4,2,6,3,5,8,13,0,0,5,0,16,7,0,0,0,14,20190825
090135351001013,20,5,10,5,0,5,15,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,17,2,0,0,0,1,15,5,3,2,1,9,15,5,0,0,0,0,20,4,0,0,0,16,20190825
090135351001016,2,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,20190825
090135351002000,48,7,32,9,10,17,21,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,44,4,0,0,0,0,45,3,6,16,12,7,33,15,0,0,0,22,26,46,2,0,0,0,20190825
090135351002001,2,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,20190825
090135351002013,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,20190825
090135351002025,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,20190825
090135351002026,6,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,1,2,1,5,1,0,0,0,1,5,4,0,0,0,2,20190825
090135351002027,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,20190825
090135351002032,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,20190825
090135351002034,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,20190825
090135351002035,21,8,13,0,4,10,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,15,6,2,6,5,0,21,0,0,0,0,0,21,0,0,0,0,21,20190825
090135351003001,7,6,1,0,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,1,6,1,0,7,0,0,0,7,0,0,0,0,20190825
090135351003004,7,1,2,4,2,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,7,0,1,0,3,2,2,5,0,0,0,0,7,7,0,0,0,0,20190825
090135351003007,43,10,21,12,7,10,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,0,1,35,8,1,12,12,8,25,18,0,0,10,0,33,10,33,0,0,0,20190825
090135351003009,4,0,2,2,0,1,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,3,1,0,0,2,0,2,3,1,0,0,0,20190825
090135351003011,46,8,20,18,13,17,16,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,12,9,0,0,35,9,1,0,0,1,44,2,5,12,12,9,17,29,0,9,0,0,37,32,0,14,0,0,20190825
090135351003017,3,0,2,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,2,1,0,0,1,0,2,3,0,0,0,0,20190825
090135351003019,56,11,28,17,2,14,40,0,0,0,49,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54,0,0,2,0,0,54,2,4,20,9,12,48,8,0,0,0,0,56,5,49,1,0,1,20190825
090135351003022,8,1,3,4,0,5,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,8,0,2,2,1,2,5,3,0,0,1,0,7,8,0,0,0,0,20190825
090135351004000,8,1,7,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,7,1,1,2,3,1,4,4,0,0,0,7,1,1,0,7,0,0,20190825
090135351004002,85,23,46,16,13,31,41,0,0,0,0,61,0,6,0,0,0,0,0,0,0,0,18,0,0,0,0,72,4,1,6,0,2,78,7,8,16,16,22,52,33,0,0,0,19,66,19,0,55,0,11,20190825
090135351004003,51,21,14,16,38,12,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,3,47,4,3,4,13,10,5,46,0,0,51,0,0,0,0,51,0,0,20190825
090135351004005,31,13,13,5,18,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,16,0,0,27,3,0,0,0,1,30,1,0,4,8,6,12,19,0,1,0,0,30,16,0,11,0,4,20190825
090135351004007,49,17,24,8,8,16,25,0,0,0,0,0,0,13,0,0,0,0,36,0,0,0,0,0,0,0,0,47,0,0,1,0,1,49,0,2,6,8,16,21,28,0,0,0,0,49,22,23,2,0,2,20190825
090135351004009,5,0,2,3,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,2,2,4,1,0,0,0,1,4,0,0,2,2,1,20190825
090135351004012,9,4,4,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,1,4,0,0,3,6,0,0,0,0,9,0,0,0,0,9,20190825
090135351004013,6,0,2,4,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,6,0,0,1,1,4,5,1,0,1,0,0,5,0,0,0,0,6,20190825
090135351004014,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,2,20190825
090135351004015,23,6,13,4,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,16,3,0,2,0,2,20,3,3,5,5,4,9,14,0,0,0,0,23,0,0,0,23,0,20190825
090135351004019,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,20190825
090135351004021,6,0,3,3,1,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,1,1,1,3,3,3,0,0,0,0,6,6,0,0,0,0,20190825
090135351004022,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,20190825
090135351004024,52,21,19,12,16,19,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,52,0,0,0,0,0,52,0,3,8,6,14,38,14,0,0,0,0,52,0,51,0,0,1,20190825
090135351004025,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,20190825
090135351004026,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,2,0,2,0,0,0,0,20190825
090135351004029,263,76,122,65,39,55,169,0,0,0,65,6,0,180,0,0,0,0,1,0,3,5,3,0,0,0,0,247,8,0,5,0,3,256,7,20,60,64,43,200,63,4,0,0,62,197,25,171,64,0,3,20190825
090135351004030,53,2,38,13,0,18,35,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,0,0,50,3,3,16,21,11,39,14,0,2,0,0,51,0,0,48,0,5,20190825
090135351004031,112,24,66,22,32,27,53,0,0,0,0,0,0,66,0,0,13,0,3,0,0,0,21,0,9,0,0,102,4,1,4,0,1,107,5,5,31,25,27,49,63,0,0,0,18,94,30,59,8,0,15,20190825
090135351004033,31,12,15,4,11,10,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,24,0,30,1,0,0,0,0,30,1,1,5,5,8,14,17,0,0,0,0,31,31,0,0,0,0,20190825
090135351005001,16,2,10,4,2,2,12,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,0,13,1,0,2,0,0,13,3,4,2,4,4,7,9,0,0,0,11,5,13,1,1,0,1,20190825
090135351005007,5,1,4,0,1,1,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,1,1,1,1,1,3,2,4,0,0,0,1,4,0,0,0,1,20190825
090135351005012,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20190825
090135351005013,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,1,2,1,2,0,0,0,1,2,3,0,0,0,0,20190825
090135351006001,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,20190825
090135351006005,5,0,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,4,0,1,5,0,0,0,0,0,5,5,0,0,0,0,20190825
090135351006011,46,8,24,14,2,29,15,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,6,0,38,7,0,0,0,1,37,9,6,11,14,7,20,26,0,0,0,0,46,7,0,0,0,39,20190825
090135351006012,282,46,157,79,37,71,174,0,0,0,40,184,1,25,0,0,0,5,0,0,0,22,0,0,0,5,0,261,9,1,9,1,1,257,25,26,75,82,53,210,72,0,7,7,1,267,85,49,98,0,50,20190825
090135351006014,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,20190825
090135351006015,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,20190825
090135351006017,5,3,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,1,1,0,5,0,0,1,1,0,4,1,0,0,0,0,5,4,1,0,0,0,20190825
